Nombre,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,Saturacion_Mes
dn_Belen_d0_0_0_Bandwidth+OUT_percent,73.95,69.8,70.98,70.73,72.67,73.87,67.83,67.56,70.1,65.16,71.35,68.52,79.03,71.35,73.96,71.49,65.99,70.39,70.38,71.38,70.59,64.01,74.58,66.12,71.82,66.61,80.78,78.03,81.63,0
dn_Belen_d0_0_1_Bandwidth+OUT_percent,73.23,65.24,71.18,70.55,73.03,73.73,67.75,66.87,71.35,65.3,71.12,68.54,78.81,71.63,73.71,71.05,65.38,70.49,70.57,71.45,71.14,64.67,73.86,65.99,71.38,66.68,81.06,77,81.67,0
dn_Belen_d0_1_0_Bandwidth+OUT_percent,23.81,30.81,30.92,26.54,22.39,23.12,22.86,23.28,24.09,23.12,25.31,26.39,29.97,25.61,25.96,26.12,25.76,27.54,21.12,30.67,21.88,27.98,21.59,23.18,22.76,24.16,25.47,25.57,26.24,0
dn_Belen_d0_1_1_Bandwidth+OUT_percent,23.34,30.83,30.49,26.59,22.24,23.02,22.57,23.2,24.53,22.82,25.36,26.26,30.04,25.85,25.67,25.7,25.17,26.97,20.76,30.47,29.34,27.11,44.78,28.56,22.67,24.3,25.43,25.41,26.14,0
dn_Belen_d0_2_0_Bandwidth+OUT_percent,31.3,40.79,31.03,33.33,34.24,32.25,30.47,30.9,31.99,29.26,32.54,32.83,37.93,37.2,33.83,28.39,32.57,30.02,31,29.68,36.15,39.77,33.83,33.58,34.38,37.16,39.58,40.76,40.48,0
dn_Belen_d0_2_1_Bandwidth+OUT_percent,31.96,41.56,30.73,33.58,33.52,32.38,30.66,30.94,32.56,29.56,32.63,33.59,38.49,37.13,33.85,28.4,33.04,29.95,31.16,30.02,36.18,39.77,34.06,33.99,34.52,37.25,39.59,40.63,40.58,0
dn_Belen_d0_3_0_Bandwidth+OUT_percent,29.33,34.95,28.56,25.6,34.9,30.03,31.48,30.45,32.03,26.91,29.08,29.2,29.48,28.53,28.77,29.25,30.15,32.35,27.29,29.85,30.25,29.87,34.17,31.18,27.86,32.8,36.27,36.24,36.86,0
dn_Belen_d0_3_1_Bandwidth+OUT_percent,29.66,36.72,28.14,25.63,35.57,30.06,31.97,30.33,32.58,26.74,29.19,28.72,28.98,28.61,28.22,29.94,30.33,31.48,27.27,29.68,30.54,29.89,34.19,31.67,27.81,32.6,36.34,36.45,36.69,0
dn_Belen_d0_4_0_Bandwidth+OUT_percent,74.07,77.59,70.76,74.55,67.83,77.88,71.22,74.98,68.34,71.83,69.36,71.41,75.15,73.49,75.88,76.68,69.75,75.27,67.49,81.3,78.88,75.15,75.94,82.13,75.35,83.92,81.97,86.58,87.15,0
dn_Belen_d0_4_1_Bandwidth+OUT_percent,74.35,75.38,70.69,74.34,68.05,77.75,70,74.6,69.41,72.25,68.58,71.62,75.81,73.88,76.22,76.77,70.36,75.28,68.73,81.64,77.41,75.21,75.27,81.93,75.64,83.56,81.87,86.21,87.03,0
dn_Belen_d0_5_0_Bandwidth+OUT_percent,31.15,29.43,27.66,28.05,28.75,27.64,23.59,25.65,28.09,29.51,31.26,33.74,31.84,37.05,34.57,30.77,26.25,31.1,29.54,29.35,30.13,29.57,29.82,31.93,30.37,33.77,35.03,31.71,36.6,0
dn_Belen_d0_5_1_Bandwidth+OUT_percent,30.93,28.67,27.71,27.86,28.51,27.71,24.07,25.95,28.17,29.66,31.16,33.18,31.55,37.21,34.16,31.15,26.34,31.45,29.43,28.84,30.08,29.65,29.91,32.09,30.5,34.25,35.47,31.61,37.59,0
dn_Belen_d0_6_0_Bandwidth+OUT_percent,77.33,61,55.93,62.78,61.34,69.08,59.42,67.18,58.81,64.89,66.27,61.97,66.87,73.73,78.95,62.58,54.81,68.59,63.97,66.13,64.82,68.49,67.62,69.1,66.76,67.52,71.07,72.45,80.24,0
dn_Belen_d0_6_1_Bandwidth+OUT_percent,76.95,59.74,56.06,63.11,60.52,68.67,59.5,68.5,57.89,64.19,66.14,61.98,66.85,73.8,78.4,62.2,55.31,67.84,63.03,65.72,64.57,68.53,67.42,69.99,66.84,66.86,70.79,73,80.07,0
dn_Belen_d0_7_0_Bandwidth+OUT_percent,34.38,31.53,31.28,34.95,31.84,34.41,34.41,31.85,37.29,30.6,36.8,31.64,36.32,36.94,33.35,38.77,32.59,40.82,32.89,32.92,33.16,34.04,35.59,38.44,37.81,37.52,44.16,43.37,45.1,0
dn_Belen_d0_7_1_Bandwidth+OUT_percent,34.33,31.9,30.83,34.77,32.14,34.7,34.41,31.9,37.63,30.69,36.74,31.07,36.93,37.2,33.3,39.08,33.39,40.88,33.32,33.06,33.48,33.78,35.49,38.61,37.97,36.98,44.09,42.78,45.4,0
dn_Canas2_d02_0_0_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Canas2_d02_0_0_Bandwidth+OUT_percent,15.3,14.38,16.63,12.52,17.91,16.29,15.46,17.7,14.4,16.5,12.38,20.74,22.55,13.59,12.22,11.32,19.5,14.93,11.52,15.59,13.15,14.17,12.16,18.07,19.3,18.36,15.71,14.69,22.56,0
dn_Canas2_d02_0_1_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Canas2_d02_0_1_Bandwidth+OUT_percent,10.66,9.47,11.42,14.08,25.24,13.75,15.06,12.79,8.64,12.14,12.66,9.84,17,9.87,10.97,12.39,12.97,15.04,10.85,15.37,11.8,11.71,10.1,10.18,6.79,6.87,8.38,8.81,9.57,0
dn_Canas2_d02_1_0_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Canas2_d02_1_0_Bandwidth+OUT_percent,15.99,17.7,20.23,15.63,14.05,16.98,18.07,16.41,20.99,15.24,14.94,15.89,16.09,19.89,13.93,15.01,14.88,14.61,16.77,14.79,16.92,17.04,12.79,14.96,16.2,17.62,17.33,16.79,18.36,0
dn_Canas2_d02_1_1_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Canas2_d02_1_1_Bandwidth+OUT_percent,28.31,11.78,14.7,10.95,11.64,14.09,8.71,10.99,10.49,14.32,10.4,14.88,13.04,13.18,14.37,16.25,13.99,22.39,12.38,11.25,12.58,9.99,9.09,9.35,11.75,13.5,27.65,22.02,23.57,0
dn_Canas2_d02_2_0_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Canas2_d02_2_0_Bandwidth+OUT_percent,7.42,6.3,11.19,9.17,7.86,10.25,10.14,12.81,9.58,10.5,9.11,9.91,10.31,11.1,12.53,10.86,11.05,14.97,11.05,12.09,16.99,16.86,19.22,14.26,14.83,13.55,26.33,10.03,14.81,0
dn_Canas2_d02_2_1_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Canas2_d02_2_1_Bandwidth+OUT_percent,11.71,13.78,12.56,15.62,11.57,10.46,8.69,11.92,10.6,13.12,14.89,9.7,16.24,13.8,14.13,14.37,10.36,13,14.42,14.26,14.18,10.21,12.55,11.04,12.1,10.83,11.46,13.1,14.63,0
dn_Canas2_d02_3_1_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Canas2_d02_3_1_Bandwidth+OUT_percent,71.53,71.23,62.89,66.57,72.48,73.19,68.66,75.71,64.47,57.24,72.08,77.84,76.82,79.72,76.72,65.45,71.13,74.23,73.9,80.09,66.83,66.44,65.11,64.6,70.81,82.23,83.07,79.49,83.66,0
dn_Canas2_d03_0_0_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Canas2_d03_0_0_Bandwidth+OUT_percent,20.1,25.37,20.69,30.23,23.25,21.47,22.17,21.73,24.95,23.72,27.16,30.46,35.37,23.98,25.88,31.61,21.13,28.17,23.91,18.79,20.16,27.81,26.38,23.29,20.16,30.86,34.73,30.3,22.26,0
dn_Canas2_d03_0_1_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Canas2_d03_0_1_Bandwidth+OUT_percent,7.21,7.3,8.4,7.09,16.5,15.01,21.15,12.14,6.09,17.32,14.34,21.8,11.24,18.8,17.1,17.76,21,20.62,19.16,11.86,15.64,23.07,14.82,15.99,26.68,24.04,17.23,31.9,21.96,0
dn_Canas2_d03_1_0_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Canas2_d03_1_0_Bandwidth+OUT_percent,21.58,10.04,16.37,27.14,19.24,42.16,21.3,26.23,22.75,41.1,27.23,24.76,30.71,38.6,46.34,29.08,26.11,43.52,27.65,29.41,30.36,21.17,38.45,32.04,53.35,47.67,31.74,24.81,43.84,0
dn_Canas2_d03_1_1_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Canas2_d03_1_1_Bandwidth+OUT_percent,7.56,8.55,8.09,10.17,7.87,17.07,14.71,15.42,17.09,17.14,17.1,15.87,17.45,19.17,19.39,15.41,17.2,17.03,9.81,16.68,19.78,17.01,15.46,16.11,15.03,17.35,13.46,18.81,18.02,0
dn_Canas2_d03_2_0_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
